Food_Item_ID,foodcode,foodname,Protein (g),Total Fat (g), Carbohydrate (g), Energy (kcal)
1,11111000,"Milk, whole",3.1499,3.25,4.7999,61
2,11111100,"Milk, whole, low-sodium",3.1,3.4599,4.4599,61
3,11111150,"Milk, whole, calcium fortified",3.1499,3.25,4.7999,61
4,11111160,"1% milk, calcium fortified ",3.37,0.97,4.99,42
5,11111170,"Fat free milk, calcium fortified ",3.3999,0.18,4.8498,35
6,11112110,2% milk,3.2999,1.98,4.7999,50
7,11112120,1% acidophilus milk,3.37,0.97,4.99,42
8,11112130,2% acidophilus milk,3.2999,1.98,4.7999,50
9,11112210,1% milk,3.37,0.97,4.99,42
10,11113000,Fat free milk ,3.37,0.08,4.96,34
11,11114300,"1% milk, lactose-free (Lactaid)",3.37,0.97,4.99,42
12,11114310,"1% milk, lactose-free (Lactaid), calcium-fortified",3.37,0.97,4.99,42
13,11114320,"Fat free milk, lactose-free",3.37,0.08,4.96,34
14,11114321,"Fat free milk, lactose-free, calcium fortified",3.3999,0.18,4.8498,35
15,11114330,"2% milk, lactose-free (Lactaid)",3.2999,1.98,4.7999,50
16,11114350,"Lactaid milk, whole milk",3.1499,3.25,4.7999,61
17,11115000,"Buttermilk, fat free (skim)",3.31,0.88,4.79,40
18,11115100,1% buttermilk,3.31,0.88,4.79,40
19,11115200,2% buttermilk,4.0998,2,5.2999,56
5507,11115300,"Buttermilk, whole",3.21,3.31,4.8799,62
20,11116000,Goat's milk ,3.56,4.1398,4.45,69
21,11121100,"Milk, dry, whole, reconstituted",3.24,3.29,4.73,61
22,11121210,"Milk, dry, low fat, reconstituted",2.9199,1.06,4.33,38
23,11121300,"Milk, dry, fat free, reconstituted",3.2599,0.07,4.8498,33
24,11122000,"Buttermilk, dry, reconstituted",3.3599,0.57,4.7999,38
25,11211050,"Evaporated milk, whole",6.8098,7.5598,10.0398,134
26,11211400,"Evaporated milk, reduced fat (2%)",7.4199,1.96,11.15,92
27,11212050,"Evaporated milk, fat free (skim) ",7.5499,0.2,11.35,78
28,11220000,Condensed milk ,7.91,8.6998,54.3999,321
29,11320000,"Milk, soy (soy beverage)",2.6299,1.48,4.99,44
30,11320100,Light soymilk ,2.3799,0.77,3.5099,30
31,11320200,"Milk, soy (soy beverage), fat free (nonfat)",2.47,0.04,4.1398,28
32,11321000,Chocolate soymilk ,2.2599,1.53,9.9498,63
33,11321100,Light chocolate soymilk ,2.1,0.64,8.24,47
34,11321200,"Milk, soy (soy beverage), fat free (nonfat), chocolate",2.47,0.04,8.5099,44
6146,11350000,"Almond milk, sweetened",0.42,1.04,6.5899,38
6147,11350010,"Almond milk, chocolate, sweetened",0.63,1.25,9.38,50
6857,11350020,"Almond milk, unsweetened",0.59,1.1,0.58,15
6858,11350030,"Almond milk, chocolate, unsweetened",0.83,1.4599,1.25,21
6859,11370000,Coconut milk,0.21,2.08,2.9199,31
35,11411100,"Yogurt, plain, whole milk",3.47,3.25,4.66,61
37,11411300,"Yogurt, plain, fat free",5.73,0.18,7.6799,56
6860,11411400,"Greek yogurt, plain, whole milk",9,5,3.98,97
6861,11411410,"Greek yogurt, plain, low fat",9.9499,1.9199,3.94,73
6862,11411420,"Greek yogurt, plain, fat free",10.1899,0.39,3.6,59
38,11421000,"Yogurt, coffee, whole milk",4.8399,3.14,13.5398,100
39,11422000,"Yogurt, coffee, lowfat",4.9299,1.25,13.8,85
5508,11422100,"Yogurt, vanilla, lowfat, low calorie sweetener",4.9299,1.25,13.8,86
40,11423000,"Yogurt, coffee, fat free",4.24,0.16,16.46,81
41,11424000,"Yogurt, coffee, light (fat free, low calorie sweetener)",3.8599,0.18,7.5,43
6863,11424500,"Greek yogurt, vanilla, whole milk",8.39,5.41,9.25,118
6864,11424510,"Greek yogurt, vanilla, low fat",8.64,2.5,9.5399,95
6865,11424520,"Greek yogurt, vanilla, fat free",8.64,0.18,10.3699,78
42,11426000,"Chocolate yogurt, whole milk",3.43,3.08,22.8,136
43,11427000,"Chocolate yogurt, fat free",3.5299,0,23.53,112
6866,11428000,"Greek yogurt, chocolate, fat free",8.75,0.32,10.84,80
44,11431000,"Yogurt, blueberry, whole milk",4.28,3.2,18.64,119
45,11432000,"Yogurt, blueberry, lowfat",4.37,1.08,19.05,102
46,11432500,"Yogurt, blueberry, lowfat, low calorie sweetener",4.86,1.4098,18.6,105
47,11433000,"Yogurt, blueberry, fat free",4.4,0.2,19,95
48,11433500,"Yogurt, blueberry, light (fat free, low calorie sweetener)",3.74,0.17,7.8799,45
6867,11434000,"Greek yogurt, fruit, whole milk",7.33,3,12.2899,106
6868,11434010,"Greek yogurt, fruit, low fat",8.1699,2.5699,11.89,103
6869,11434020,"Greek yogurt, fruit, fat free",8.05,0.15,12.07,82
50,11446000,Fruit and low fat yogurt parfait,3.3599,1.01,15.8599,84
51,11460160,"Frozen yogurt, chocolate, low fat",5.24,1.95,21.7898,113
52,11460170,"Frozen yogurt, other flavors, low fat",4.4599,1.32,20.98,112
53,11460200,"Frozen yogurt, chocolate, nonfat",4.4,0.8,19.6999,107
54,11460250,"Frozen yogurt, other flavors, with sorbet",3.71,3.41,26.68,152
55,11460300,"Frozen yogurt, other flavors, nonfat",4.41,0,27.94,129
56,11460400,"Frozen yogurt, chocolate, nonfat, low-calorie sweetener",4.4,0.8,19.6999,107
57,11460410,"Frozen yogurt, other flavors, nonfat, low-calorie sweetener",4.4,0.8,19.6999,104
58,11460430,"Frozen yogurt, chocolate, whole milk",3,3.6,21.6,127
59,11460440,"Frozen yogurt, other flavors, whole milk",3,3.6,21.6,127
60,11461000,"Frozen yogurt, chocolate-coated",3.22,16.41,28.92,270
61,11461100,"Frozen yogurt, carob-coated",4.9299,11.3699,31.39,244
62,11461200,"Frozen yogurt, sandwich",4.6398,5.1299,37.68,212
63,11461250,"Frozen yogurt, cone, chocolate",5.15,9.1198,31.37,214
64,11461260,"Frozen yogurt, cone, other flavors",4.48,5.3799,31.5,189
65,11461270,"Frozen yogurt, cone, other flavors, low fat",5.4199,1.86,11.27,84
66,11461280,"Frozen yogurt, cone, chocolate, low fat",5.4,2.24,25.1498,131
67,11511100,"Chocolate milk, whole",3.1699,3.39,10.34,83
68,11511200,"Chocolate milk, reduced fat (2%)",2.99,1.8998,12.13,76
69,11511300,"Chocolate milk, fat free (skim)",3.4199,0.28,10.94,56
70,11511400,"Chocolate milk, low fat (1%)",3.24,1,12.6,71
71,11512000,"Hot chocolate, homemade, with whole milk",3.39,3.33,12.14,86
72,11512500,"Hot chocolate, Puerto Rican style, with whole milk",4.07,6.98,10.52,116
73,11512500,"Hot chocolate, Puerto Rican style, with reduced fat (2%) milk",2.1099,3.93,7.6699,70
74,11512500,"Hot chocolate, Puerto Rican style, with low fat (1%) milk",2.1499,3.39,7.7698,65
